0.680000,1.050000
1.050000,1.350000
1.350000,1.820000
1.940000,2.220000
2.220000,2.340000
2.340000,2.410000
2.410000,2.660000
2.660000,2.910000
2.910000,3.205000
3.205000,3.330000
3.330000,3.510000
3.510000,3.680000
3.680000,3.740000
3.740000,4.140000
4.580000,4.980000
4.980000,5.360000
5.360000,5.460000
5.460000,5.840000
5.840000,6.090000
6.090000,6.550000
6.860000,7.140000
7.220000,7.470000
7.470000,8.000000
8.000000,8.070000
8.070000,8.300000
8.300000,8.760000
8.760000,8.820000
8.820000,9.240000
9.240000,9.380000
9.380000,9.710000
9.710000,9.900000
9.900000,10.030000
10.030000,10.340000
10.340000,10.750000
11.280000,11.400000
11.400000,11.710000
11.710000,12.050000
12.050000,12.200000
12.200000,12.710000
13.060000,13.560000
13.560000,14.050000
14.150000,14.350000
14.350000,14.500000
14.570000,14.770000
14.880000,15.090000
15.090000,15.460000
15.460000,15.570000
15.570000,15.650000
15.650000,16.230000
16.620000,16.780000
16.780000,16.940000
16.940000,17.270000
17.320000,17.620000
17.620000,18.030000
18.030000,18.720000
18.770000,19.090000
19.090000,19.385000
19.385000,19.840000
19.840000,20.020000
20.020000,20.090000
20.090000,20.260000
20.260000,20.510000
20.510000,20.750000
20.750000,21.080000
21.550000,22.150000
22.150000,22.290000
22.290000,22.350000
22.350000,22.680000
22.680000,23.190000
